organisation,Ministry of Finance
sectors,"Finance"
updated_frequency,Yearly
granularity,"Fiscal Year"
time_saved,2 hours
source,"Lok Sabha Unstarred Question No.4181, Department of Revenue, 27 March 2023"
source_link,"https://sansad.in/getFile/loksabhaquestions/annex/1711/AU4181.pdf?source=pqals"
time_period,"2012-13 to 2020-21"
units,"value in absolute number"
citation,"Ministry of Finance. Year-wise Total Number of Corporate, Personal and Government Employee Taxpayers [Data set]. Dataful. https://dataful.in/datasets/18568"
