fiscal_year,year,month,scheme,interest_rate,units,note
2019-20,2019,October,Public Provident Fund,7.9,interest_rate in percentage,
2019-20,2019,November,Public Provident Fund,7.9,interest_rate in percentage,
2019-20,2019,December,Public Provident Fund,7.9,interest_rate in percentage,
2017-18,2018,January,Public Provident Fund,7.6,interest_rate in percentage,
2017-18,2018,February,Public Provident Fund,7.6,interest_rate in percentage,
2017-18,2018,March,Public Provident Fund,7.6,interest_rate in percentage,
2018-19,2018,April,Public Provident Fund,7.6,interest_rate in percentage,
2018-19,2018,May,Public Provident Fund,7.6,interest_rate in percentage,
2018-19,2018,June,Public Provident Fund,7.6,interest_rate in percentage,
2018-19,2018,July,Public Provident Fund,7.6,interest_rate in percentage,
2018-19,2018,August,Public Provident Fund,7.6,interest_rate in percentage,
2018-19,2018,September,Public Provident Fund,7.6,interest_rate in percentage,
2018-19,2018,October,Public Provident Fund,8,interest_rate in percentage,
2018-19,2018,November,Public Provident Fund,8,interest_rate in percentage,
2018-19,2018,December,Public Provident Fund,8,interest_rate in percentage,
2016-17,2017,January,Public Provident Fund,8,interest_rate in percentage,
2016-17,2017,February,Public Provident Fund,8,interest_rate in percentage,
2016-17,2017,March,Public Provident Fund,8,interest_rate in percentage,
2017-18,2017,April,Public Provident Fund,7.9,interest_rate in percentage,
2017-18,2017,May,Public Provident Fund,7.9,interest_rate in percentage,
2017-18,2017,June,Public Provident Fund,7.9,interest_rate in percentage,
2017-18,2017,July,Public Provident Fund,7.8,interest_rate in percentage,
2017-18,2017,August,Public Provident Fund,7.8,interest_rate in percentage,
2017-18,2017,September,Public Provident Fund,7.8,interest_rate in percentage,
2017-18,2017,October,Public Provident Fund,7.8,interest_rate in percentage,
2017-18,2017,November,Public Provident Fund,7.8,interest_rate in percentage,
2017-18,2017,December,Public Provident Fund,7.8,interest_rate in percentage,
2015-16,2016,January,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2016,February,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2016,March,Public Provident Fund,8.7,interest_rate in percentage,
2016-17,2016,April,Public Provident Fund,8.1,interest_rate in percentage,
2016-17,2016,May,Public Provident Fund,8.1,interest_rate in percentage,
2016-17,2016,June,Public Provident Fund,8.1,interest_rate in percentage,
2016-17,2016,July,Public Provident Fund,8.1,interest_rate in percentage,
2016-17,2016,August,Public Provident Fund,8.1,interest_rate in percentage,
2016-17,2016,September,Public Provident Fund,8.1,interest_rate in percentage,
2016-17,2016,October,Public Provident Fund,8,interest_rate in percentage,
2016-17,2016,November,Public Provident Fund,8,interest_rate in percentage,
2016-17,2016,December,Public Provident Fund,8,interest_rate in percentage,
2014-15,2015,January,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2015,February,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2015,March,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2015,April,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2015,May,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2015,June,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2015,July,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2015,August,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2015,September,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2015,October,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2015,November,Public Provident Fund,8.7,interest_rate in percentage,
2015-16,2015,December,Public Provident Fund,8.7,interest_rate in percentage,
2013-14,2014,January,Public Provident Fund,8.7,interest_rate in percentage,
2013-14,2014,February,Public Provident Fund,8.7,interest_rate in percentage,
2013-14,2014,March,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2014,April,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2014,May,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2014,June,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2014,July,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2014,August,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2014,September,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2014,October,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2014,November,Public Provident Fund,8.7,interest_rate in percentage,
2014-15,2014,December,Public Provident Fund,8.7,interest_rate in percentage,
2012-13,2013,January,Public Provident Fund,8.8,interest_rate in percentage,
2012-13,2013,February,Public Provident Fund,8.8,interest_rate in percentage,
2012-13,2013,March,Public Provident Fund,8.8,interest_rate in percentage,
2013-14,2013,April,Public Provident Fund,8.7,interest_rate in percentage,
2013-14,2013,May,Public Provident Fund,8.7,interest_rate in percentage,
2013-14,2013,June,Public Provident Fund,8.7,interest_rate in percentage,
2013-14,2013,July,Public Provident Fund,8.7,interest_rate in percentage,
2013-14,2013,August,Public Provident Fund,8.7,interest_rate in percentage,
2013-14,2013,September,Public Provident Fund,8.7,interest_rate in percentage,
2013-14,2013,October,Public Provident Fund,8.7,interest_rate in percentage,
