fiscal_year,year,month,scheme,interest_rate,units,note
1989-90,1990,March,Public Provident Fund,12,interest_rate in percentage,
1990-91,1990,April,Public Provident Fund,12,interest_rate in percentage,
1990-91,1990,May,Public Provident Fund,12,interest_rate in percentage,
1990-91,1990,June,Public Provident Fund,12,interest_rate in percentage,
1990-91,1990,July,Public Provident Fund,12,interest_rate in percentage,
1990-91,1990,August,Public Provident Fund,12,interest_rate in percentage,
1990-91,1990,September,Public Provident Fund,12,interest_rate in percentage,
1990-91,1990,October,Public Provident Fund,12,interest_rate in percentage,
1990-91,1990,November,Public Provident Fund,12,interest_rate in percentage,
1990-91,1990,December,Public Provident Fund,12,interest_rate in percentage,
1988-89,1989,January,Public Provident Fund,12,interest_rate in percentage,
1988-89,1989,February,Public Provident Fund,12,interest_rate in percentage,
1988-89,1989,March,Public Provident Fund,12,interest_rate in percentage,
1989-90,1989,April,Public Provident Fund,12,interest_rate in percentage,
1989-90,1989,May,Public Provident Fund,12,interest_rate in percentage,
1989-90,1989,June,Public Provident Fund,12,interest_rate in percentage,
1989-90,1989,July,Public Provident Fund,12,interest_rate in percentage,
1989-90,1989,August,Public Provident Fund,12,interest_rate in percentage,
1989-90,1989,September,Public Provident Fund,12,interest_rate in percentage,
1989-90,1989,October,Public Provident Fund,12,interest_rate in percentage,
1989-90,1989,November,Public Provident Fund,12,interest_rate in percentage,
1989-90,1989,December,Public Provident Fund,12,interest_rate in percentage,
1987-88,1988,January,Public Provident Fund,12,interest_rate in percentage,
1987-88,1988,February,Public Provident Fund,12,interest_rate in percentage,
1987-88,1988,March,Public Provident Fund,12,interest_rate in percentage,
1988-89,1988,April,Public Provident Fund,12,interest_rate in percentage,
1988-89,1988,May,Public Provident Fund,12,interest_rate in percentage,
1988-89,1988,June,Public Provident Fund,12,interest_rate in percentage,
1988-89,1988,July,Public Provident Fund,12,interest_rate in percentage,
1988-89,1988,August,Public Provident Fund,12,interest_rate in percentage,
1988-89,1988,September,Public Provident Fund,12,interest_rate in percentage,
1988-89,1988,October,Public Provident Fund,12,interest_rate in percentage,
1988-89,1988,November,Public Provident Fund,12,interest_rate in percentage,
1988-89,1988,December,Public Provident Fund,12,interest_rate in percentage,
1986-87,1987,January,Public Provident Fund,12,interest_rate in percentage,
1986-87,1987,February,Public Provident Fund,12,interest_rate in percentage,
1986-87,1987,March,Public Provident Fund,12,interest_rate in percentage,
1987-88,1987,April,Public Provident Fund,12,interest_rate in percentage,
1987-88,1987,May,Public Provident Fund,12,interest_rate in percentage,
1987-88,1987,June,Public Provident Fund,12,interest_rate in percentage,
1987-88,1987,July,Public Provident Fund,12,interest_rate in percentage,
1987-88,1987,August,Public Provident Fund,12,interest_rate in percentage,
1987-88,1987,September,Public Provident Fund,12,interest_rate in percentage,
1987-88,1987,October,Public Provident Fund,12,interest_rate in percentage,
1987-88,1987,November,Public Provident Fund,12,interest_rate in percentage,
1987-88,1987,December,Public Provident Fund,12,interest_rate in percentage,
1985-86,1986,January,Public Provident Fund,10,interest_rate in percentage,
1985-86,1986,February,Public Provident Fund,10,interest_rate in percentage,
1985-86,1986,March,Public Provident Fund,10,interest_rate in percentage,
1986-87,1986,April,Public Provident Fund,12,interest_rate in percentage,
1986-87,1986,May,Public Provident Fund,12,interest_rate in percentage,
1986-87,1986,June,Public Provident Fund,12,interest_rate in percentage,
1986-87,1986,July,Public Provident Fund,12,interest_rate in percentage,
1986-87,1986,August,Public Provident Fund,12,interest_rate in percentage,
1986-87,1986,September,Public Provident Fund,12,interest_rate in percentage,
1986-87,1986,October,Public Provident Fund,12,interest_rate in percentage,
1986-87,1986,November,Public Provident Fund,12,interest_rate in percentage,
1986-87,1986,December,Public Provident Fund,12,interest_rate in percentage,
1984-85,1985,January,Public Provident Fund,9.5,interest_rate in percentage,
1984-85,1985,February,Public Provident Fund,9.5,interest_rate in percentage,
1984-85,1985,March,Public Provident Fund,9.5,interest_rate in percentage,
1985-86,1985,April,Public Provident Fund,10,interest_rate in percentage,
1985-86,1985,May,Public Provident Fund,10,interest_rate in percentage,
1985-86,1985,June,Public Provident Fund,10,interest_rate in percentage,
1985-86,1985,July,Public Provident Fund,10,interest_rate in percentage,
1985-86,1985,August,Public Provident Fund,10,interest_rate in percentage,
1985-86,1985,September,Public Provident Fund,10,interest_rate in percentage,
1985-86,1985,October,Public Provident Fund,10,interest_rate in percentage,
1985-86,1985,November,Public Provident Fund,10,interest_rate in percentage,
1985-86,1985,December,Public Provident Fund,10,interest_rate in percentage,
1983-84,1984,January,Public Provident Fund,9,interest_rate in percentage,
1983-84,1984,February,Public Provident Fund,9,interest_rate in percentage,
1983-84,1984,March,Public Provident Fund,9,interest_rate in percentage,
1984-85,1984,April,Public Provident Fund,9.5,interest_rate in percentage,
1984-85,1984,May,Public Provident Fund,9.5,interest_rate in percentage,
1984-85,1984,June,Public Provident Fund,9.5,interest_rate in percentage,
1984-85,1984,July,Public Provident Fund,9.5,interest_rate in percentage,
1984-85,1984,August,Public Provident Fund,9.5,interest_rate in percentage,
1984-85,1984,September,Public Provident Fund,9.5,interest_rate in percentage,
1984-85,1984,October,Public Provident Fund,9.5,interest_rate in percentage,
1984-85,1984,November,Public Provident Fund,9.5,interest_rate in percentage,
1984-85,1984,December,Public Provident Fund,9.5,interest_rate in percentage,
1982-83,1983,January,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1983,February,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1983,March,Public Provident Fund,8.5,interest_rate in percentage,
1983-84,1983,April,Public Provident Fund,9,interest_rate in percentage,
1983-84,1983,May,Public Provident Fund,9,interest_rate in percentage,
1983-84,1983,June,Public Provident Fund,9,interest_rate in percentage,
1983-84,1983,July,Public Provident Fund,9,interest_rate in percentage,
1983-84,1983,August,Public Provident Fund,9,interest_rate in percentage,
1983-84,1983,September,Public Provident Fund,9,interest_rate in percentage,
1983-84,1983,October,Public Provident Fund,9,interest_rate in percentage,
1983-84,1983,November,Public Provident Fund,9,interest_rate in percentage,
1983-84,1983,December,Public Provident Fund,9,interest_rate in percentage,
1981-82,1982,January,Public Provident Fund,8.5,interest_rate in percentage,
1981-82,1982,February,Public Provident Fund,8.5,interest_rate in percentage,
1981-82,1982,March,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1982,April,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1982,May,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1982,June,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1982,July,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1982,August,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1982,September,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1982,October,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1982,November,Public Provident Fund,8.5,interest_rate in percentage,
1982-83,1982,December,Public Provident Fund,8.5,interest_rate in percentage,
1980-81,1981,January,Public Provident Fund,8,interest_rate in percentage,
1980-81,1981,February,Public Provident Fund,8,interest_rate in percentage,
1980-81,1981,March,Public Provident Fund,8,interest_rate in percentage,
1981-82,1981,April,Public Provident Fund,8.5,interest_rate in percentage,
1981-82,1981,May,Public Provident Fund,8.5,interest_rate in percentage,
1981-82,1981,June,Public Provident Fund,8.5,interest_rate in percentage,
1981-82,1981,July,Public Provident Fund,8.5,interest_rate in percentage,
1981-82,1981,August,Public Provident Fund,8.5,interest_rate in percentage,
1981-82,1981,September,Public Provident Fund,8.5,interest_rate in percentage,
1981-82,1981,October,Public Provident Fund,8.5,interest_rate in percentage,
1981-82,1981,November,Public Provident Fund,8.5,interest_rate in percentage,
1981-82,1981,December,Public Provident Fund,8.5,interest_rate in percentage,
1979-80,1980,January,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1980,February,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1980,March,Public Provident Fund,7.5,interest_rate in percentage,
1980-81,1980,April,Public Provident Fund,8,interest_rate in percentage,
1980-81,1980,May,Public Provident Fund,8,interest_rate in percentage,
1980-81,1980,June,Public Provident Fund,8,interest_rate in percentage,
1980-81,1980,July,Public Provident Fund,8,interest_rate in percentage,
1980-81,1980,August,Public Provident Fund,8,interest_rate in percentage,
1980-81,1980,September,Public Provident Fund,8,interest_rate in percentage,
1980-81,1980,October,Public Provident Fund,8,interest_rate in percentage,
1980-81,1980,November,Public Provident Fund,8,interest_rate in percentage,
1980-81,1980,December,Public Provident Fund,8,interest_rate in percentage,
1978-79,1979,January,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1979,February,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1979,March,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1979,April,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1979,May,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1979,June,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1979,July,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1979,August,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1979,September,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1979,October,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1979,November,Public Provident Fund,7.5,interest_rate in percentage,
1979-80,1979,December,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1978,January,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1978,February,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1978,March,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1978,April,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1978,May,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1978,June,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1978,July,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1978,August,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1978,September,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1978,October,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1978,November,Public Provident Fund,7.5,interest_rate in percentage,
1978-79,1978,December,Public Provident Fund,7.5,interest_rate in percentage,
1976-77,1977,January,Public Provident Fund,7,interest_rate in percentage,
1976-77,1977,February,Public Provident Fund,7,interest_rate in percentage,
1976-77,1977,March,Public Provident Fund,7,interest_rate in percentage,
1977-78,1977,April,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1977,May,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1977,June,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1977,July,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1977,August,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1977,September,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1977,October,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1977,November,Public Provident Fund,7.5,interest_rate in percentage,
1977-78,1977,December,Public Provident Fund,7.5,interest_rate in percentage,
1975-76,1976,January,Public Provident Fund,7,interest_rate in percentage,
1975-76,1976,February,Public Provident Fund,7,interest_rate in percentage,
1975-76,1976,March,Public Provident Fund,7,interest_rate in percentage,
1976-77,1976,April,Public Provident Fund,7,interest_rate in percentage,
1976-77,1976,May,Public Provident Fund,7,interest_rate in percentage,
1976-77,1976,June,Public Provident Fund,7,interest_rate in percentage,
1976-77,1976,July,Public Provident Fund,7,interest_rate in percentage,
1976-77,1976,August,Public Provident Fund,7,interest_rate in percentage,
1976-77,1976,September,Public Provident Fund,7,interest_rate in percentage,
1976-77,1976,October,Public Provident Fund,7,interest_rate in percentage,
1976-77,1976,November,Public Provident Fund,7,interest_rate in percentage,
1976-77,1976,December,Public Provident Fund,7,interest_rate in percentage,
1974-75,1975,January,Public Provident Fund,7,interest_rate in percentage,
1974-75,1975,February,Public Provident Fund,7,interest_rate in percentage,
1974-75,1975,March,Public Provident Fund,7,interest_rate in percentage,
1975-76,1975,April,Public Provident Fund,7,interest_rate in percentage,
1975-76,1975,May,Public Provident Fund,7,interest_rate in percentage,
1975-76,1975,June,Public Provident Fund,7,interest_rate in percentage,
1975-76,1975,July,Public Provident Fund,7,interest_rate in percentage,
1975-76,1975,August,Public Provident Fund,7,interest_rate in percentage,
1975-76,1975,September,Public Provident Fund,7,interest_rate in percentage,
1975-76,1975,October,Public Provident Fund,7,interest_rate in percentage,
1975-76,1975,November,Public Provident Fund,7,interest_rate in percentage,
1975-76,1975,December,Public Provident Fund,7,interest_rate in percentage,
1973-74,1974,January,Public Provident Fund,5.3,interest_rate in percentage,
1973-74,1974,February,Public Provident Fund,5.3,interest_rate in percentage,
1973-74,1974,March,Public Provident Fund,5.3,interest_rate in percentage,
1974-75,1974,April,Public Provident Fund,5.8,interest_rate in percentage,
1974-75,1974,May,Public Provident Fund,5.8,interest_rate in percentage,
1974-75,1974,June,Public Provident Fund,5.8,interest_rate in percentage,
1974-75,1974,July,Public Provident Fund,5.8,interest_rate in percentage,
1974-75,1974,August,Public Provident Fund,7,interest_rate in percentage,
1974-75,1974,September,Public Provident Fund,7,interest_rate in percentage,
1974-75,1974,October,Public Provident Fund,7,interest_rate in percentage,
1974-75,1974,November,Public Provident Fund,7,interest_rate in percentage,
1974-75,1974,December,Public Provident Fund,7,interest_rate in percentage,
1972-73,1973,January,Public Provident Fund,5,interest_rate in percentage,
1972-73,1973,February,Public Provident Fund,5,interest_rate in percentage,
1972-73,1973,March,Public Provident Fund,5,interest_rate in percentage,
1973-74,1973,April,Public Provident Fund,5.3,interest_rate in percentage,
1973-74,1973,May,Public Provident Fund,5.3,interest_rate in percentage,
1973-74,1973,June,Public Provident Fund,5.3,interest_rate in percentage,
1973-74,1973,July,Public Provident Fund,5.3,interest_rate in percentage,
1973-74,1973,August,Public Provident Fund,5.3,interest_rate in percentage,
1973-74,1973,September,Public Provident Fund,5.3,interest_rate in percentage,
1973-74,1973,October,Public Provident Fund,5.3,interest_rate in percentage,
1973-74,1973,November,Public Provident Fund,5.3,interest_rate in percentage,
1973-74,1973,December,Public Provident Fund,5.3,interest_rate in percentage,
1971-72,1972,January,Public Provident Fund,5,interest_rate in percentage,
1971-72,1972,February,Public Provident Fund,5,interest_rate in percentage,
1971-72,1972,March,Public Provident Fund,5,interest_rate in percentage,
1972-73,1972,April,Public Provident Fund,5,interest_rate in percentage,
1972-73,1972,May,Public Provident Fund,5,interest_rate in percentage,
1972-73,1972,June,Public Provident Fund,5,interest_rate in percentage,
1972-73,1972,July,Public Provident Fund,5,interest_rate in percentage,
1972-73,1972,August,Public Provident Fund,5,interest_rate in percentage,
1972-73,1972,September,Public Provident Fund,5,interest_rate in percentage,
1972-73,1972,October,Public Provident Fund,5,interest_rate in percentage,
1972-73,1972,November,Public Provident Fund,5,interest_rate in percentage,
1972-73,1972,December,Public Provident Fund,5,interest_rate in percentage,
1970-71,1971,January,Public Provident Fund,5,interest_rate in percentage,
1970-71,1971,February,Public Provident Fund,5,interest_rate in percentage,
1970-71,1971,March,Public Provident Fund,5,interest_rate in percentage,
1971-72,1971,April,Public Provident Fund,5,interest_rate in percentage,
1971-72,1971,May,Public Provident Fund,5,interest_rate in percentage,
1971-72,1971,June,Public Provident Fund,5,interest_rate in percentage,
1971-72,1971,July,Public Provident Fund,5,interest_rate in percentage,
1971-72,1971,August,Public Provident Fund,5,interest_rate in percentage,
1971-72,1971,September,Public Provident Fund,5,interest_rate in percentage,
1971-72,1971,October,Public Provident Fund,5,interest_rate in percentage,
1971-72,1971,November,Public Provident Fund,5,interest_rate in percentage,
1971-72,1971,December,Public Provident Fund,5,interest_rate in percentage,
1969-70,1970,January,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1970,February,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1970,March,Public Provident Fund,4.8,interest_rate in percentage,
1970-71,1970,April,Public Provident Fund,5,interest_rate in percentage,
1970-71,1970,May,Public Provident Fund,5,interest_rate in percentage,
1970-71,1970,June,Public Provident Fund,5,interest_rate in percentage,
1970-71,1970,July,Public Provident Fund,5,interest_rate in percentage,
1970-71,1970,August,Public Provident Fund,5,interest_rate in percentage,
1970-71,1970,September,Public Provident Fund,5,interest_rate in percentage,
1970-71,1970,October,Public Provident Fund,5,interest_rate in percentage,
1970-71,1970,November,Public Provident Fund,5,interest_rate in percentage,
1970-71,1970,December,Public Provident Fund,5,interest_rate in percentage,
1968-69,1969,January,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1969,February,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1969,March,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1969,April,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1969,May,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1969,June,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1969,July,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1969,August,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1969,September,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1969,October,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1969,November,Public Provident Fund,4.8,interest_rate in percentage,
1969-70,1969,December,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1968,April,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1968,May,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1968,June,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1968,July,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1968,August,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1968,September,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1968,October,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1968,November,Public Provident Fund,4.8,interest_rate in percentage,
1968-69,1968,December,Public Provident Fund,4.8,interest_rate in percentage,
